Naber,Status,WarningValue,AlarmValue,AvgValue,StdValue,Count,Alert
202578,z05-03-03,0.084,0.252,0.050566856882401874,0.0040524635588095595,7,0
202578,z05-04-03,0.001,0.003,0.0008324285777884402,0.00042434481768612476,7,0
202578,z05-07-03,0.101,0.303,0.06297571265271731,0.005596609908956941,7,0
202578,z05-08-03,0.001,0.003,0.0023907142416906674,0.0017900199575306044,7,1
202578,z05-11-03,0.121,0.363,0.06960571450846535,0.006250775627105378,7,0
202578,z05-12-03,0.002,0.005,0.002328285747872932,0.0011690968709285898,7,1
202619,z05-03-03,0.084,0.252,0.08442000299692154,0.0,1,1
202619,z05-04-03,0.001,0.003,0.010076000355184078,0.0,1,2
202619,z05-07-03,0.101,0.303,0.1121629998087883,0.0,1,1
202619,z05-08-03,0.001,0.003,0.015930000692605972,0.0,1,2
202619,z05-11-03,0.121,0.363,0.11040200293064117,0.0,1,0
202621,z05-03-03,0.084,0.252,0.09013599902391434,0.0,1,1
202621,z05-04-03,0.001,0.003,0.005979000125080347,0.0,1,2
202621,z05-07-03,0.101,0.303,0.10456299781799316,0.0,1,1
202621,z05-08-03,0.001,0.003,0.006380000151693821,0.0,1,2
202621,z05-11-03,0.121,0.363,0.18853700160980225,0.0,1,1
202621,z05-12-03,0.002,0.005,0.008116000331938267,0.0,1,2
202624,z05-03-03,0.084,0.252,0.06713730022311211,0.02107526458378313,10,0
202624,z05-04-03,0.001,0.003,0.00363180001731962,0.004142404321169514,10,2
202624,z05-07-03,0.101,0.303,0.0865675002336502,0.009906809905757723,10,0
202624,z05-08-03,0.001,0.003,0.004569333305375444,0.00276037902373917,9,2
202624,z05-11-03,0.121,0.363,0.07742030024528504,0.01882600410850232,10,0
202624,z05-12-03,0.002,0.005,0.0030804000212810933,0.0014576355374039261,10,1
202625,z05-03-03,0.084,0.252,0.07498399913311005,0.030519012973902842,3,0
202625,z05-04-03,0.001,0.003,0.008140666623755047,0.010065664648264288,3,2
202625,z05-07-03,0.101,0.303,0.12993166844050089,0.03556876886866742,3,1
202625,z05-08-03,0.001,0.003,0.017456666100770235,0.015400872046260526,3,2
202625,z05-11-03,0.121,0.363,0.2059900015592575,0.11200197550318698,3,1
202625,z05-12-03,0.002,0.005,0.06420599731306235,0.07535752632308389,3,2
202703,z05-03-03,0.084,0.252,0.08023962518200278,0.030592223873584186,8,0
202703,z05-04-03,0.001,0.003,0.007091749899700517,0.009233934494189418,8,2
202703,z05-07-03,0.101,0.303,0.10665287636220455,0.027224912049228167,8,1
202703,z05-08-03,0.001,0.003,0.010004999974626116,0.011174216480257581,8,2
202703,z05-11-03,0.121,0.363,0.11048937495797873,0.024298825442929127,8,0
202703,z05-12-03,0.002,0.005,0.0036784999683732167,0.0028560304470881155,8,1
202704,z05-03-03,0.084,0.252,0.08336344568265809,0.01763851994502214,9,0
202704,z05-04-03,0.001,0.003,0.006964222075314158,0.005031648373924592,9,2
202704,z05-07-03,0.101,0.303,0.08873366523120138,0.01584433136024271,9,0
202704,z05-08-03,0.001,0.003,0.004957555521590014,0.0036126472830998566,9,2
202704,z05-11-03,0.121,0.363,0.11855877770317926,0.029034600007105147,9,0
202704,z05-12-03,0.002,0.005,0.0033755555955900084,0.002833421661729419,9,1
202940,z05-03-03,0.084,0.252,0.05489230786378567,0.0053462731296021904,13,0
202940,z05-04-03,0.001,0.003,0.0011485384669728004,0.0007610240793119372,13,1
202940,z05-07-03,0.101,0.303,0.07856746189869367,0.010916404884346215,13,0
202940,z05-08-03,0.001,0.003,0.004007846119258409,0.0034360990568062136,13,2
202940,z05-11-03,0.121,0.363,0.10758976982190059,0.032196952265645694,13,0
202940,z05-12-03,0.002,0.005,0.0036081538419239223,0.003186321276065957,13,1
202941,z05-03-03,0.084,0.252,0.06335680037736893,0.014815451095490045,15,0
202941,z05-04-03,0.001,0.003,0.0030476667200370383,0.0035070866370287305,15,2
202941,z05-07-03,0.101,0.303,0.07678260008494059,0.006405861951077167,15,0
202941,z05-08-03,0.001,0.003,0.002892999987428387,0.001072099360157915,15,1
202941,z05-11-03,0.121,0.363,0.14031786620616912,0.03846993767289609,15,1
202941,z05-12-03,0.002,0.005,0.018468599921713274,0.017980099964926045,15,2
202942,z05-03-03,0.084,0.252,0.06679742836526462,0.03437212549890912,7,0
202942,z05-04-03,0.001,0.003,0.0012476666597649455,0.0003182314162750099,6,1
202942,z05-07-03,0.101,0.303,0.10629014245101384,0.01156063903506857,7,1
202942,z05-08-03,0.001,0.003,0.004061999924791356,0.0026418475478235744,6,2
202942,z05-11-03,0.121,0.363,0.2285885704415185,0.03447637871059182,7,1
202942,z05-12-03,0.002,0.005,0.028006856828661903,0.020223589499526264,7,2
202944,z05-03-03,0.084,0.252,0.05439769276059591,0.011426574064016317,13,0
202944,z05-04-03,0.001,0.003,0.0019256153945417071,0.0015274126224138257,13,1
202944,z05-07-03,0.101,0.303,0.08163246168540074,0.009559860674252754,13,0
202944,z05-08-03,0.001,0.003,0.0036796923601426757,0.0019444700038631587,13,2
202944,z05-11-03,0.121,0.363,0.10281823059687248,0.02263599335511808,13,0
202944,z05-12-03,0.002,0.005,0.003873153867271657,0.0028063540462986134,13,1
202945,z05-03-03,0.084,0.252,0.10377334417967961,0.03400888605375921,29,1
202945,z05-04-03,0.001,0.003,0.010581069027780202,0.01753254561700398,29,2
202945,z05-07-03,0.101,0.303,0.09880110390227416,0.03203818248933587,29,0
202945,z05-08-03,0.001,0.003,0.008475896549122086,0.013604309413300757,29,2
202945,z05-11-03,0.121,0.363,0.10792751687354055,0.02185925682851083,29,0
202945,z05-12-03,0.002,0.005,0.003722137950184145,0.003474759051115809,29,1
202946,z05-03-03,0.084,0.252,0.05963447317481041,0.009681456005419812,19,0
202946,z05-04-03,0.001,0.003,0.002321789453210505,0.0022724284237430254,19,1
202946,z05-07-03,0.101,0.303,0.07379884233600215,0.00896967244707166,19,0
202946,z05-08-03,0.001,0.003,0.0031322777601114162,0.0017184348051237598,18,2
202946,z05-11-03,0.121,0.363,0.08956489437504818,0.02793985669535731,19,0
202946,z05-12-03,0.002,0.005,0.003016500017515177,0.0028264181976910157,18,1
202949,z05-03-03,0.084,0.252,0.05749171386872019,0.0063557730704038575,7,0
202949,z05-04-03,0.001,0.003,0.001253857123499204,0.0008196098952662359,7,1
202949,z05-07-03,0.101,0.303,0.07838200032711029,0.011802342858156328,6,0
202949,z05-08-03,0.001,0.003,0.00335200004822885,0.0019427265557228164,6,2
202949,z05-11-03,0.121,0.363,0.06349480003118516,0.012573899988228948,5,0
202949,z05-12-03,0.002,0.005,0.001365600008284673,0.0005860834894546378,5,0
202950,z05-03-03,0.084,0.252,0.17690600454807281,0.0,1,1
202950,z05-04-03,0.001,0.003,0.05302799865603447,0.0,1,2
202950,z05-07-03,0.101,0.303,0.07228200137615204,0.0,1,0
202950,z05-08-03,0.001,0.003,0.0011220000451430678,0.0,1,1
202950,z05-11-03,0.121,0.363,0.2949970066547394,0.0,1,1
202950,z05-12-03,0.002,0.005,0.089198999106884,0.0,1,2
202951,z05-03-03,0.084,0.252,0.07245149905793369,0.013844075608136415,16,0
202951,z05-04-03,0.001,0.003,0.002604749991405697,0.0022783867935689127,16,1
202951,z05-07-03,0.101,0.303,0.07379093766212463,0.010428488117587315,16,0
202951,z05-08-03,0.001,0.003,0.003292999943369068,0.002164388712389992,16,2
202951,z05-11-03,0.121,0.363,0.0949138745199889,0.049409560065896016,16,0
202951,z05-12-03,0.002,0.005,0.007710437490459299,0.012481546437847164,16,2
202952,z05-03-03,0.084,0.252,0.06078068402252699,0.009306783307230062,19,0
202952,z05-04-03,0.001,0.003,0.0012216842044022326,0.0004741605414241846,19,1
202952,z05-07-03,0.101,0.303,0.08184417643967797,0.015185235971762233,17,0
202952,z05-08-03,0.001,0.003,0.002510105262780072,0.0016724369325258632,19,1
202952,z05-11-03,0.121,0.363,0.23630252676574806,0.17097530639385888,19,1
202952,z05-12-03,0.002,0.005,0.006194684204130776,0.006928369486472844,19,2
202954,z05-03-03,0.084,0.252,0.06793199905327388,0.010265018993600735,7,0
202954,z05-04-03,0.001,0.003,0.001299714282920052,0.0009755059473190132,7,1
202954,z05-07-03,0.101,0.303,0.07379571348428726,0.010572650909850408,7,0
202954,z05-08-03,0.001,0.003,0.0032135713512876202,0.00249487729734159,7,2
202954,z05-11-03,0.121,0.363,0.07865614231143679,0.013643369602382943,7,0
202954,z05-12-03,0.002,0.005,0.0017322857207286038,0.0006849345740969631,7,0
202955,z05-03-03,0.084,0.252,0.09128199766079585,0.043531250512973456,3,1
202955,z05-04-03,0.001,0.003,0.0077876663999632,0.00782443414052847,3,2
202955,z05-07-03,0.101,0.303,0.07456650026142597,0.004527964917857698,4,0
202955,z05-08-03,0.001,0.003,0.003203250002115965,0.0007811336233478765,4,2
202955,z05-11-03,0.121,0.363,0.1447065006941557,0.059826259201172266,4,1
202955,z05-12-03,0.002,0.005,0.020481750078033656,0.02333833553030943,4,2
202957,z05-03-03,0.084,0.252,0.07739249989390373,0.008791545575217196,8,0
202957,z05-04-03,0.001,0.003,0.0037655000148030617,0.0019469756683961445,6,2
202957,z05-07-03,0.101,0.303,0.07079437375068665,0.0034873070563642763,8,0
202957,z05-08-03,0.001,0.003,0.0020716250292025506,0.0007429473350512977,8,1
202957,z05-11-03,0.121,0.363,0.10047142846243722,0.018621064807381613,7,0
202957,z05-12-03,0.002,0.005,0.002269142822894667,0.0006417703963839155,7,1
202961,z05-03-03,0.084,0.252,0.1343692730773579,0.02457154659779619,11,1
202961,z05-04-03,0.001,0.003,0.010607454436302016,0.010513979018779228,11,2
202961,z05-07-03,0.101,0.303,0.13621169850230216,0.024966215085582652,10,1
202961,z05-08-03,0.001,0.003,0.007907199952751399,0.006062963955760562,10,2
202961,z05-11-03,0.121,0.363,0.59237040579319,0.19683241991180236,10,2
202961,z05-12-03,0.002,0.005,0.01299177777643005,0.011070936777128254,9,2
202963,z05-03-03,0.084,0.252,0.10191460102796554,0.010946124208588297,10,1
202963,z05-04-03,0.001,0.003,0.002984800038393587,0.002293684689953521,10,1
202963,z05-07-03,0.101,0.303,0.09417460039258004,0.017621288581910147,10,0
202963,z05-08-03,0.001,0.003,0.0035427000722847877,0.0018615298223167505,10,2
202963,z05-11-03,0.121,0.363,0.19193770065903665,0.08574664698853358,10,1
202963,z05-12-03,0.002,0.005,0.026034499477827922,0.04050393784674889,10,2
202964,z05-03-03,0.084,0.252,0.09336974937468767,0.03173046056858245,8,1
202964,z05-04-03,0.001,0.003,0.008380374885746278,0.014535494752143722,8,2
202964,z05-07-03,0.101,0.303,0.10434675123542547,0.00630335249722015,8,1
202964,z05-08-03,0.001,0.003,0.0030232499630074017,0.0017352373875134184,8,2
202964,z05-11-03,0.121,0.363,0.17424962483346462,0.08497206597633003,8,1
202964,z05-12-03,0.002,0.005,0.027558374138607178,0.06763512650078536,8,2
202968,z05-03-03,0.084,0.252,0.09163533399502437,0.008016715421311387,3,1
202968,z05-04-03,0.001,0.003,0.0018843333042847614,0.0010466993192816396,3,1
202968,z05-07-03,0.101,0.303,0.09028266618649165,0.0036344504372719873,3,0
202968,z05-08-03,0.001,0.003,0.0014950000622775406,0.0006580000335816294,2,1
202968,z05-11-03,0.121,0.363,0.09489750117063522,0.003135502338409424,2,0
202968,z05-12-03,0.002,0.005,0.0026805000379681587,0.0001674999948590994,2,1
203087,z05-03-03,0.084,0.252,0.09360612463206053,0.011090234402262962,8,1
203087,z05-04-03,0.001,0.003,0.006378999940352514,0.002891629624887451,8,2
203087,z05-07-03,0.101,0.303,0.08071712404489517,0.003200175252814594,8,0
203087,z05-08-03,0.001,0.003,0.0018953749749925919,0.0006508684282187026,8,1
203087,z05-11-03,0.121,0.363,0.13830787409096956,0.03258109131798342,8,1
203087,z05-12-03,0.002,0.005,0.006149749970063567,0.004330286460599993,8,2
203093,z05-03-03,0.084,0.252,0.07241118157451804,0.013693345456029632,11,0
203093,z05-04-03,0.001,0.003,0.00331218180839311,0.0017171920177173681,11,2
203093,z05-07-03,0.101,0.303,0.08831810057163239,0.011420471688725065,10,0
203093,z05-08-03,0.001,0.003,0.0038533636305311866,0.0016964856846921543,11,2
203093,z05-11-03,0.121,0.363,0.12035936388102444,0.02758548521626627,11,0
203093,z05-12-03,0.002,0.005,0.0030826364157044077,0.0016589578724342203,11,1
203096,z05-03-03,0.084,0.252,0.08088447109741323,0.03271793759816201,17,0
203096,z05-04-03,0.001,0.003,0.00360276475240586,0.006565229327967166,17,2
203096,z05-07-03,0.101,0.303,0.08935182300560615,0.028874791340030216,17,0
203096,z05-08-03,0.001,0.003,0.006594235341146807,0.014304033179370535,17,2
203096,z05-11-03,0.121,0.363,0.19485711876083822,0.07673629155677202,17,1
203096,z05-12-03,0.002,0.005,0.009923176401678254,0.012806362305238302,17,2
